[TID]               [Nom]               [Début]            [Fin]               [Durée Totale]
140223453328960     chandelier          17:49:13            17:49:14            1401ms
140223436543552     coupe               17:49:14            17:49:14            400ms
140223419758144     table               17:49:14            17:49:14            400ms
140223444936256     coupe               17:49:14            17:49:14            600ms
140223453328960     bague               17:49:14            17:49:14            200ms
140223300236864     coupe               17:49:14            17:49:15            600ms
140223411365440     chandelier          17:49:14            17:49:15            400ms
140223436543552     epee                17:49:14            17:49:15            600ms
140223428150848     epee                17:49:14            17:49:15            1001ms
140223411365440     table               17:49:15            17:49:15            200ms
140223444936256     epee                17:49:14            17:49:15            800ms
140223436543552     bague               17:49:15            17:49:15            200ms
140223419758144     epee                17:49:14            17:49:15            1000ms
140223444936256     table               17:49:15            17:49:15            200ms
140223453328960     epee                17:49:15            17:49:16            1000ms
140223419758144     table               17:49:15            17:49:16            200ms
140223411365440     epee                17:49:15            17:49:16            600ms
140223444936256     bague               17:49:16            17:49:16            200ms
140223436543552     coupe               17:49:15            17:49:16            600ms
140223428150848     chandelier          17:49:15            17:49:16            1001ms
140223419758144     table               17:49:16            17:49:16            200ms
140223300236864     chandelier          17:49:15            17:49:16            1601ms
140223411365440     porte               17:49:16            17:49:16            400ms
140223453328960     chandelier          17:49:16            17:49:16            800ms
140223444936256     porte               17:49:16            17:49:16            400ms
140223428150848     chandelier          17:49:16            17:49:17            600ms
140223436543552     porte               17:49:16            17:49:17            600ms
140223300236864     epee                17:49:16            17:49:17            600ms
140223419758144     bague               17:49:16            17:49:17            600ms
140223411365440     epee                17:49:16            17:49:17            599ms
140223444936256     table               17:49:17            17:49:17            400ms
140223428150848     chandelier          17:49:17            17:49:17            600ms
140223300236864     coupe               17:49:17            17:49:17            400ms
140223453328960     chandelier          17:49:16            17:49:17            1000ms
140223411365440     chandelier          17:49:17            17:49:18            600ms
140223436543552     epee                17:49:17            17:49:18            1000ms
140223419758144     coupe               17:49:17            17:49:18            1000ms
140223444936256     chandelier          17:49:17            17:49:18            800ms
140223428150848     epee                17:49:17            17:49:18            1000ms
140223419758144     bague               17:49:18            17:49:18            200ms
140223300236864     epee                17:49:17            17:49:18            1000ms
140223428150848     table               17:49:18            17:49:18            200ms
140223453328960     epee                17:49:18            17:49:19            1000ms
140223444936256     porte               17:49:18            17:49:19            400ms
140223411365440     chandelier          17:49:18            17:49:19            1000ms
